conversationId,timestamp,sessionId,channel,customerIdAnon,customerSegment,initialIntent,originQueue,outcome,durationSeconds,totalTurns
conv-20260605-000165,2026-06-06T00:34:16.309Z,sess-9cd244d002661114,phone,c66328a64eb289ba,Standard,cartao_desbloqueio,investimentos,resolved_by_ai,57,2
conv-20260621-000166,2026-06-21T21:26:01.309Z,sess-56a14fb827c9fd52,phone,8964a3f0ecff315b,Premium,resgate,investimentos,resolved_by_ai,52,3
conv-20260616-000167,2026-06-17T01:01:40.309Z,sess-4447570b6c787040,phone,c10fdc0a44eb8795,Standard,previdencia,seguros,resolved_by_ai,90,7
conv-20260621-000168,2026-06-21T20:24:45.309Z,sess-85ca8db1cd08c302,phone,cd4993b78a80b2a3,Premium,resgate,credito,resolved_by_ai,100,8
conv-20260620-000169,2026-06-21T03:00:30.309Z,sess-6fe9f65348748fe4,phone,4dc86ba1aea65f8f,VIP,extrato,credito,resolved_by_ai,47,3
conv-20260610-000170,2026-06-11T06:16:42.309Z,sess-fe1317877410daf3,phone,1cd1f7ad1d15f7ba,Standard,emprestimo_simulacao,seguros,resolved_by_ai,60,3
conv-20260629-000171,2026-06-29T23:19:01.309Z,sess-2d1cdf866b20c03c,phone,6a69de84244b3c33,Basic,previdencia,seguros,transferred_to_agent,85,6
conv-20260615-000172,2026-06-16T02:22:28.309Z,sess-c052c3d0320796de,chat,6502b3e5a2100182,Premium,saldo,investimentos,resolved_by_ai,136,9
conv-20260701-000173,2026-07-02T05:48:49.309Z,sess-b4bbf7ff4d39cc34,phone,3bda594870b5e2cf,Standard,transferencia_ted,investimentos,resolved_by_ai,62,9
conv-20260624-000174,2026-06-25T00:07:50.309Z,sess-b2584494640b1cd7,phone,673ffb0729a157e4,Standard,extrato,atendimento_principal,resolved_by_ai,31,2
conv-20260602-000175,2026-06-03T04:38:07.309Z,sess-478576dec120faa5,phone,e111c0062fe74eba,VIP,resgate,credito,resolved_by_ai,53,3
conv-20260616-000176,2026-06-17T05:13:55.309Z,sess-f53ff2280197e28a,phone,7221cf1b019a1404,Premium,cotacao_seguro,investimentos,system_timeout,78,7
conv-20260624-000177,2026-06-24T21:19:19.309Z,sess-0f62a8d93e0ff703,chat,31bd414484df471e,Standard,limite,investimentos,resolved_by_ai,115,9
conv-20260629-000178,2026-06-29T19:41:55.309Z,sess-2afeb7ecdec99aac,chat,b4c20cedfaa764c5,Standard,transferencia_ted,investimentos,resolved_by_ai,96,9
conv-20260629-000179,2026-06-30T06:35:59.309Z,sess-7a2938cac15fdc3b,phone,cf44c8a11f59b604,Premium,fatura,credito,resolved_by_ai,43,4
conv-20260625-000180,2026-06-26T06:03:57.309Z,sess-3285e5e2cdbc094d,phone,f4d661e3e47bbcf3,Standard,cartao_desbloqueio,seguros,resolved_by_ai,97,9
conv-20260623-000181,2026-06-23T22:15:39.309Z,sess-3d92df390dfd1b1b,phone,8c9182572c2b32ae,VIP,pagamento_boleto,investimentos,resolved_by_ai,81,7
conv-20260626-000182,2026-06-26T20:32:21.309Z,sess-5e3233a6f1e8ad1c,phone,28f53514314826cb,Standard,previdencia,credito,resolved_by_ai,81,6
conv-20260612-000183,2026-06-13T02:42:11.309Z,sess-41dd92f9ea1679f8,whatsapp,031ebce89f1bab72,VIP,saldo,credito,resolved_by_ai,86,8
conv-20260603-000184,2026-06-04T05:50:16.309Z,sess-eae65bc920e4f62c,phone,92ea81268d2cfdda,Basic,emprestimo_contratacao,investimentos,transferred_to_agent,109,8
conv-20260630-000185,2026-07-01T01:42:27.309Z,sess-7e869727189dcfb3,phone,5c76357097782acf,Standard,transferencia_ted,seguros,customer_hangup,114,7
conv-20260621-000186,2026-06-21T18:25:13.309Z,sess-01bd14a3c0ba5312,phone,11f3d629b6c58f48,VIP,transferencia_pix,atendimento_principal,resolved_by_ai,77,6
conv-20260627-000187,2026-06-27T20:08:14.309Z,sess-d47362a1d592b4cc,whatsapp,32003d865c740d52,Standard,cartao_desbloqueio,atendimento_principal,resolved_by_ai,100,9
conv-20260614-000188,2026-06-15T01:33:43.309Z,sess-016ee27a55c3ff41,phone,cb04797574a8382f,VIP,resgate,investimentos,customer_hangup,50,4
conv-20260621-000189,2026-06-22T06:02:44.309Z,sess-551295618c72fb02,phone,e7dfd398395a364c,VIP,cambio,investimentos,resolved_by_ai,100,7
conv-20260607-000190,2026-06-07T19:30:40.309Z,sess-bc1c8138e9949b12,phone,bed9675c7e047e3f,VIP,seguros,atendimento_principal,transferred_to_agent,35,3
conv-20260613-000191,2026-06-14T06:19:06.309Z,sess-c1a9ef7e6a917e54,whatsapp,3c4d64bd8469841c,Standard,seguros,credito,resolved_by_ai,86,7
conv-20260604-000192,2026-06-04T19:43:22.309Z,sess-b10d9bd342965ed9,phone,e953cc17848df914,Premium,previdencia,investimentos,resolved_by_ai,47,4
conv-20260627-000193,2026-06-27T19:32:50.309Z,sess-11933daa0c22419e,phone,b918443652fe8762,Premium,cartao_desbloqueio,seguros,resolved_by_ai,91,8
conv-20260609-000194,2026-06-09T21:20:29.309Z,sess-e294752b74c19828,phone,9b3756dfe60a1261,Premium,resgate,atendimento_principal,resolved_by_ai,54,4
conv-20260611-000195,2026-06-11T21:48:43.309Z,sess-afe16abc88549752,phone,d4fd2ccdc4172429,Basic,previdencia,investimentos,resolved_by_ai,83,9
conv-20260624-000196,2026-06-25T05:24:44.309Z,sess-b6ddb4a918729b1a,phone,286446856e8e9551,Basic,seguros,seguros,resolved_by_ai,107,10
conv-20260701-000197,2026-07-02T03:08:21.309Z,sess-03beb6d4cfe7aca1,chat,1b178f3ac9da4e5f,VIP,fatura,investimentos,system_timeout,29,2
conv-20260612-000198,2026-06-13T04:20:58.309Z,sess-1cb7ffb4fa39e908,phone,7670bce03718cdc4,Standard,saldo,investimentos,customer_hangup,87,9
conv-20260619-000199,2026-06-19T21:13:27.309Z,sess-06fccece4be0c513,phone,1333af1368fd03b2,Basic,fatura,atendimento_principal,customer_hangup,22,2
conv-20260607-000200,2026-06-07T18:11:12.309Z,sess-f45ee120288b7de4,phone,bcb60f5abc007b83,Standard,sinistro,atendimento_principal,resolved_by_ai,133,10
